date,open,high,low,close,volume,hold,settle
2016-04-01,3452.0,3452.0,3373.0,3379.0,275376,197508,3405.0
2016-04-06,3370.0,3370.0,3316.0,3322.0,301268,254364,3335.0
2016-04-07,3315.0,3340.0,3310.0,3322.0,172132,263620,3329.0
2016-04-08,3322.0,3335.0,3312.0,3318.0,168082,266886,3322.0
2016-04-11,3322.0,3367.0,3316.0,3339.0,229192,259360,3345.0
2016-04-12,3340.0,3374.0,3338.0,3369.0,182198,254734,3357.0
2016-04-13,3372.0,3448.0,3370.0,3416.0,364814,228406,3413.0
2016-04-14,3410.0,3479.0,3410.0,3444.0,286900,229698,3448.0
2016-04-15,3443.0,3464.0,3421.0,3422.0,216066,230192,3442.0
2016-04-18,3418.0,3498.0,3408.0,3476.0,315794,243730,3463.0
2016-04-19,3481.0,3510.0,3466.0,3483.0,303814,243244,3486.0
2016-04-20,3498.0,3625.0,3490.0,3611.0,687638,254672,3580.0
2016-04-21,3610.0,3723.0,3583.0,3723.0,358134,255156,3651.0
2016-04-22,3796.0,3869.0,3601.0,3681.0,1299000,259052,3762.0
2016-04-25,3695.0,3855.0,3660.0,3702.0,1019412,289762,3739.0
2016-04-26,3701.0,3765.0,3672.0,3707.0,561860,263562,3720.0
2016-04-27,3723.0,3743.0,3664.0,3683.0,447228,265726,3698.0
2016-04-28,3687.0,3695.0,3574.0,3600.0,476878,245536,3630.0
2016-04-29,3602.0,3657.0,3581.0,3586.0,341034,249736,3621.0
2016-05-03,3620.0,3708.0,3595.0,3704.0,314320,261846,3662.0
2016-05-04,3691.0,3731.0,3616.0,3631.0,350268,260188,3661.0
2016-05-05,3631.0,3655.0,3597.0,3610.0,266052,275140,3629.0
2016-05-06,3636.0,3645.0,3500.0,3520.0,382470,269000,3556.0
2016-05-09,3521.0,3579.0,3493.0,3530.0,420272,276116,3531.0
2016-05-10,3521.0,3536.0,3462.0,3508.0,296648,272958,3493.0
2016-05-11,3514.0,3667.0,3506.0,3667.0,553812,313318,3618.0
2016-05-12,3660.0,3723.0,3607.0,3645.0,781138,296964,3660.0
2016-05-13,3645.0,3676.0,3530.0,3567.0,561366,264922,3596.0
2016-05-16,3568.0,3642.0,3545.0,3614.0,372828,263680,3598.0
2016-05-17,3610.0,3678.0,3609.0,3676.0,337004,260614,3648.0
2016-05-18,3680.0,3780.0,3658.0,3689.0,560494,233280,3719.0
2016-05-19,3691.0,3753.0,3652.0,3742.0,639040,242624,3720.0
2016-05-20,3722.0,3734.0,3680.0,3721.0,346946,242742,3710.0
2016-05-23,3753.0,3770.0,3640.0,3653.0,388680,228750,3690.0
2016-05-24,3654.0,3664.0,3518.0,3537.0,441674,216454,3583.0
2016-05-25,3538.0,3588.0,3512.0,3569.0,302886,204502,3557.0
2016-05-26,3575.0,3669.0,3575.0,3661.0,345342,203086,3628.0
2016-05-27,3671.0,3693.0,3605.0,3661.0,313538,205980,3645.0
2016-05-30,3655.0,3755.0,3646.0,3720.0,324160,212546,3707.0
2016-05-31,3670.0,3763.0,3620.0,3717.0,460928,230640,3700.0
