date,open,high,low,close,volume,hold,settle
2016-04-01,1415.0,1432.0,1407.0,1425.0,440412,1362858,1424.0
2016-04-05,1708.0,1740.0,1708.0,1715.0,123764,445638,1722.0
2016-04-06,1432.0,1435.0,1426.0,1433.0,199062,1364000,1429.0
2016-04-07,1434.0,1435.0,1427.0,1432.0,166246,1365000,1431.0
2016-04-08,1433.0,1435.0,1423.0,1429.0,206138,1375200,1429.0
2016-04-11,1431.0,1444.0,1425.0,1435.0,544374,1431700,1434.0
2016-04-12,1440.0,1445.0,1435.0,1443.0,328682,1436732,1440.0
2016-04-13,1450.0,1467.0,1446.0,1452.0,928156,1400246,1454.0
2016-04-14,1462.0,1485.0,1458.0,1482.0,941422,1384900,1474.0
2016-04-15,1479.0,1481.0,1456.0,1460.0,699432,1441694,1469.0
2016-04-18,1463.0,1499.0,1462.0,1481.0,1494158,1497866,1487.0
2016-04-19,1488.0,1497.0,1481.0,1490.0,649890,1497698,1489.0
2016-04-20,1500.0,1542.0,1500.0,1530.0,1946162,1273478,1519.0
2016-04-21,1551.0,1579.0,1551.0,1579.0,1006476,1215500,1576.0
2016-04-22,1569.0,1592.0,1524.0,1538.0,2296482,1121638,1555.0
2016-04-25,1525.0,1541.0,1507.0,1527.0,942950,1089998,1529.0
2016-04-26,1542.0,1556.0,1529.0,1543.0,895712,1097784,1543.0
2016-04-27,1555.0,1557.0,1518.0,1524.0,932178,1128200,1535.0
2016-04-28,1522.0,1531.0,1502.0,1519.0,920010,1078774,1514.0
2016-04-29,1527.0,1537.0,1512.0,1514.0,565292,1102246,1523.0
2016-05-03,1525.0,1546.0,1514.0,1544.0,751144,1130328,1534.0
2016-05-04,1526.0,1534.0,1518.0,1531.0,558790,1105824,1526.0
2016-05-05,1536.0,1537.0,1524.0,1525.0,402858,1105218,1529.0
2016-05-06,1510.0,1522.0,1490.0,1515.0,578416,1058018,1513.0
2016-05-09,1525.0,1529.0,1507.0,1514.0,590800,1045400,1516.0
2016-05-10,1503.0,1519.0,1501.0,1512.0,402552,1030400,1511.0
2016-05-11,1541.0,1563.0,1535.0,1559.0,1221870,1093746,1551.0
2016-05-12,1552.0,1556.0,1541.0,1543.0,639428,1074900,1548.0
2016-05-13,1538.0,1546.0,1530.0,1537.0,621000,1017514,1535.0
2016-05-16,1538.0,1555.0,1536.0,1539.0,696702,1031900,1546.0
2016-05-17,1545.0,1552.0,1542.0,1551.0,398802,1064500,1547.0
2016-05-18,1562.0,1575.0,1522.0,1539.0,1231722,1043600,1556.0
2016-05-19,1545.0,1551.0,1538.0,1549.0,518404,1052000,1544.0
2016-05-20,1548.0,1558.0,1538.0,1544.0,373598,1052900,1544.0
2016-05-23,1544.0,1554.0,1528.0,1532.0,737882,1015700,1542.0
2016-05-24,1530.0,1538.0,1513.0,1529.0,706564,959490,1525.0
2016-05-25,1531.0,1537.0,1523.0,1527.0,290812,944162,1528.0
2016-05-26,1534.0,1549.0,1532.0,1548.0,462274,952162,1540.0
2016-05-27,1544.0,1573.0,1539.0,1564.0,980786,1046900,1560.0
2016-05-30,1571.0,1624.0,1568.0,1622.0,1454216,1168260,1599.0
2016-05-31,1620.0,1640.0,1604.0,1615.0,1193884,1207792,1622.0
2016-06-01,1608.0,1619.0,1601.0,1614.0,687276,1158752,1609.0
2016-06-02,1639.0,1642.0,1610.0,1611.0,725666,1196100,1627.0
2016-06-03,1618.0,1623.0,1602.0,1613.0,781972,1116770,1612.0
2016-06-06,1622.0,1635.0,1619.0,1626.0,522790,1128400,1626.0
2016-06-07,1635.0,1638.0,1615.0,1626.0,496470,1155700,1626.0
2016-06-08,1626.0,1628.0,1613.0,1615.0,410964,1154800,1621.0
2016-06-13,1632.0,1680.0,1625.0,1669.0,1539342,1332674,1659.0
2016-06-14,1660.0,1673.0,1647.0,1665.0,987128,1303200,1659.0
2016-06-15,1670.0,1678.0,1587.0,1606.0,1664200,1292300,1625.0
2016-06-16,1598.0,1606.0,1573.0,1576.0,1115794,1206676,1592.0
2016-06-17,1580.0,1597.0,1576.0,1588.0,750970,1184300,1586.0
2016-06-20,1595.0,1604.0,1580.0,1592.0,772870,1257008,1592.0
2016-06-21,1585.0,1597.0,1580.0,1585.0,536412,1270778,1588.0
2016-06-22,1565.0,1578.0,1554.0,1575.0,632570,1280988,1568.0
2016-06-23,1571.0,1581.0,1554.0,1556.0,674976,1312462,1567.0
2016-06-24,1553.0,1564.0,1540.0,1542.0,666070,1287708,1552.0
2016-06-27,1550.0,1558.0,1542.0,1551.0,935676,1439958,1550.0
2016-06-28,1546.0,1578.0,1545.0,1567.0,1004748,1475506,1563.0
2016-06-29,1568.0,1580.0,1554.0,1566.0,867120,1487344,1566.0
