date,open,high,low,close,volume,hold,settle
2016-04-01,3664.0,3685.0,3645.0,3653.0,82870,108688,3665.0
2016-04-05,3088.0,3160.0,3085.0,3159.0,25650,44796,3134.0
2016-04-06,3775.0,3786.0,3741.0,3756.0,118198,122364,3764.0
2016-04-07,3768.0,3800.0,3752.0,3758.0,120888,126572,3777.0
2016-04-08,3760.0,3786.0,3743.0,3773.0,95710,126528,3766.0
2016-04-11,3800.0,3875.0,3800.0,3863.0,170202,137490,3846.0
2016-04-12,3883.0,3886.0,3834.0,3855.0,92202,137152,3851.0
2016-04-13,3885.0,3989.0,3875.0,3900.0,200752,128246,3926.0
2016-04-14,3925.0,3951.0,3880.0,3912.0,107718,124990,3916.0
2016-04-15,3905.0,3938.0,3888.0,3903.0,87930,124718,3910.0
2016-04-18,3922.0,4014.0,3920.0,3984.0,144098,132628,3975.0
2016-04-19,3984.0,4005.0,3956.0,3993.0,76218,127064,3980.0
2016-04-20,4032.0,4178.0,4005.0,4127.0,235044,106786,4097.0
2016-04-21,4190.0,4301.0,4188.0,4301.0,154052,103494,4260.0
2016-04-22,4251.0,4251.0,4088.0,4121.0,202048,89412,4176.0
2016-04-25,4075.0,4145.0,4037.0,4135.0,115918,94220,4095.0
2016-04-26,4148.0,4160.0,4048.0,4078.0,117284,93098,4102.0
2016-04-27,4115.0,4120.0,4002.0,4029.0,116056,91116,4059.0
2016-04-28,4025.0,4030.0,3955.0,3982.0,107730,93440,3989.0
2016-04-29,4019.0,4044.0,3988.0,4029.0,110030,94020,4017.0
2016-05-03,4050.0,4098.0,4005.0,4046.0,125976,98814,4052.0
2016-05-04,4000.0,4079.0,3990.0,4070.0,122124,104612,4037.0
2016-05-05,4083.0,4108.0,4036.0,4059.0,95908,102968,4063.0
2016-05-06,4000.0,4000.0,3902.0,3907.0,162408,92890,3942.0
2016-05-09,3950.0,3965.0,3854.0,3875.0,120680,92946,3895.0
2016-05-10,3843.0,3920.0,3820.0,3898.0,85076,95620,3878.0
2016-05-11,3960.0,3985.0,3925.0,3946.0,114748,99620,3958.0
2016-05-12,3940.0,3940.0,3880.0,3885.0,116360,101860,3909.0
2016-05-13,3821.0,3858.0,3778.0,3805.0,138260,102948,3812.0
2016-05-16,3825.0,3853.0,3801.0,3807.0,82612,106064,3826.0
2016-05-17,3829.0,3846.0,3811.0,3830.0,65746,106518,3829.0
2016-05-18,3871.0,3938.0,3802.0,3834.0,169256,104356,3876.0
2016-05-19,3836.0,3850.0,3808.0,3823.0,70482,105986,3831.0
2016-05-20,3868.0,3868.0,3800.0,3818.0,89558,114194,3823.0
2016-05-23,3798.0,3798.0,3730.0,3776.0,114524,114586,3759.0
2016-05-24,3745.0,3837.0,3742.0,3831.0,121476,112596,3788.0
2016-05-25,3844.0,3894.0,3821.0,3885.0,142060,111252,3855.0
2016-05-26,3900.0,3920.0,3840.0,3889.0,111338,108672,3882.0
2016-05-27,3878.0,3995.0,3857.0,3994.0,192124,118608,3939.0
2016-05-30,3990.0,4016.0,3955.0,3989.0,121582,121124,3980.0
2016-05-31,3965.0,4014.0,3915.0,3918.0,158684,121862,3969.0
2016-06-01,3910.0,3920.0,3809.0,3823.0,160426,116204,3870.0
2016-06-02,3850.0,3879.0,3825.0,3842.0,135004,113958,3851.0
2016-06-03,3867.0,3884.0,3817.0,3844.0,133290,117066,3851.0
2016-06-06,3802.0,3950.0,3800.0,3947.0,193316,129848,3882.0
2016-06-07,3942.0,3972.0,3918.0,3960.0,147824,131002,3945.0
2016-06-08,3940.0,3958.0,3920.0,3940.0,105804,131936,3937.0
2016-06-13,3920.0,4067.0,3835.0,4065.0,254796,150124,4004.0
2016-06-14,4026.0,4048.0,3982.0,4009.0,171154,152234,4012.0
2016-06-15,4008.0,4034.0,3852.0,3857.0,289784,138700,3921.0
2016-06-16,3860.0,3880.0,3826.0,3856.0,153646,131412,3853.0
2016-06-17,3850.0,3918.0,3847.0,3907.0,165416,126410,3894.0
2016-06-20,3880.0,3929.0,3856.0,3888.0,169912,132646,3893.0
2016-06-21,3888.0,3903.0,3791.0,3814.0,243010,145374,3841.0
2016-06-22,3797.0,3840.0,3781.0,3831.0,122592,140628,3823.0
2016-06-23,3834.0,3849.0,3767.0,3812.0,258698,143022,3813.0
2016-06-24,3806.0,3874.0,3800.0,3833.0,163224,133946,3840.0
2016-06-27,3865.0,3988.0,3860.0,3985.0,185224,130524,3940.0
2016-06-28,3996.0,4049.0,3958.0,4042.0,159798,126726,4013.0
2016-06-29,4045.0,4138.0,4020.0,4081.0,192594,124062,4075.0
2016-06-30,4098.0,4110.0,4035.0,4079.0,123758,122212,4070.0
2016-07-01,4100.0,4187.0,4063.0,4143.0,179554,127448,4131.0
2016-07-04,4160.0,4258.0,4142.0,4194.0,228330,122626,4203.0
2016-07-05,4175.0,4237.0,4039.0,4210.0,220512,123456,4149.0
2016-07-06,4126.0,4293.0,4081.0,4235.0,423418,133070,4219.0
2016-07-07,4300.0,4312.0,4126.0,4175.0,249028,122882,4215.0
2016-07-08,4150.0,4209.0,4085.0,4138.0,217414,113124,4140.0
2016-07-11,4175.0,4290.0,4175.0,4260.0,217670,124430,4253.0
2016-07-12,4250.0,4310.0,4153.0,4176.0,292164,118868,4229.0
2016-07-13,4202.0,4248.0,4156.0,4173.0,227904,117220,4204.0
2016-07-14,4160.0,4187.0,4112.0,4152.0,153116,114706,4149.0
2016-07-15,4110.0,4190.0,4100.0,4124.0,165842,116718,4141.0
2016-07-18,4115.0,4176.0,4094.0,4100.0,154458,118036,4132.0
2016-07-19,4127.0,4148.0,4000.0,4007.0,196988,119082,4071.0
2016-07-20,4005.0,4021.0,3968.0,3974.0,145264,114798,3995.0
2016-07-21,3985.0,4030.0,3950.0,4014.0,131600,112306,3997.0
2016-07-22,4005.0,4043.0,3895.0,3899.0,193980,114468,3966.0
2016-07-25,3868.0,3919.0,3845.0,3857.0,136890,116704,3877.0
2016-07-26,3848.0,3895.0,3835.0,3862.0,103072,117908,3869.0
2016-07-27,3882.0,3905.0,3818.0,3834.0,168866,124738,3857.0
2016-07-28,3850.0,3867.0,3812.0,3845.0,124186,115562,3844.0
2016-07-29,3850.0,3898.0,3786.0,3805.0,194826,107272,3848.0
2016-08-01,3465.0,3469.0,3413.0,3433.0,75458,142626,3437.0
2016-08-02,3420.0,3460.0,3407.0,3442.0,76832,150096,3444.0
2016-08-03,3445.0,3468.0,3432.0,3444.0,88298,157166,3450.0
2016-08-04,3450.0,3496.0,3450.0,3482.0,131356,157190,3477.0
2016-08-05,3485.0,3526.0,3466.0,3482.0,100212,164212,3493.0
2016-08-08,3505.0,3516.0,3446.0,3456.0,133196,187750,3484.0
2016-08-09,3460.0,3485.0,3425.0,3471.0,124128,194242,3464.0
2016-08-10,3481.0,3510.0,3474.0,3487.0,143452,202918,3489.0
2016-08-11,3475.0,3499.0,3450.0,3453.0,147150,212618,3476.0
2016-08-12,3460.0,3469.0,3431.0,3436.0,137590,231754,3446.0
2016-08-15,3441.0,3495.0,3441.0,3478.0,172164,223168,3473.0
2016-08-16,3493.0,3515.0,3474.0,3493.0,175522,229250,3495.0
2016-08-17,3500.0,3565.0,3500.0,3540.0,219434,222722,3542.0
2016-08-18,3550.0,3562.0,3480.0,3507.0,196966,229794,3523.0
2016-08-19,3510.0,3521.0,3460.0,3473.0,140714,239812,3494.0
2016-08-22,3486.0,3520.0,3466.0,3475.0,160332,239922,3494.0
2016-08-23,3490.0,3500.0,3384.0,3395.0,254362,277642,3434.0
2016-08-24,3402.0,3407.0,3370.0,3382.0,148510,288424,3391.0
2016-08-25,3370.0,3405.0,3332.0,3377.0,237098,288614,3371.0
2016-08-26,3380.0,3392.0,3353.0,3355.0,120608,292426,3369.0
2016-08-29,3344.0,3388.0,3335.0,3371.0,145468,294532,3370.0
2016-08-30,3375.0,3393.0,3366.0,3372.0,98438,288588,3378.0
2016-08-31,3370.0,3399.0,3320.0,3348.0,195426,290684,3357.0
2016-09-01,3355.0,3374.0,3340.0,3370.0,101502,282854,3358.0
2016-09-02,3388.0,3424.0,3362.0,3385.0,162580,276384,3387.0
2016-09-05,3386.0,3396.0,3336.0,3355.0,143678,282722,3361.0
2016-09-06,3362.0,3380.0,3345.0,3378.0,113108,279194,3364.0
