date,open,high,low,close,volume,hold,settle
2016-04-01,2140.0,2196.0,2136.0,2193.0,11332698,2849612,2167.0
2016-04-05,2263.0,2350.0,2263.0,2350.0,240,2640,2328.0
2016-04-06,2194.0,2207.0,2162.0,2182.0,9508160,3437272,2184.0
2016-04-07,2180.0,2212.0,2171.0,2191.0,8191230,3571450,2187.0
2016-04-08,2188.0,2199.0,2178.0,2196.0,7519084,3548056,2189.0
2016-04-11,2201.0,2315.0,2199.0,2293.0,13939432,4180004,2263.0
2016-04-12,2302.0,2344.0,2287.0,2344.0,12889096,4273062,2312.0
2016-04-13,2351.0,2435.0,2332.0,2353.0,19138022,4129856,2366.0
2016-04-14,2355.0,2377.0,2315.0,2324.0,11451662,4028986,2350.0
2016-04-15,2320.0,2340.0,2296.0,2300.0,10863312,3711280,2318.0
2016-04-18,2287.0,2417.0,2287.0,2391.0,11825572,3715410,2353.0
2016-04-19,2397.0,2494.0,2396.0,2494.0,14327034,3533946,2446.0
2016-04-20,2501.0,2592.0,2501.0,2592.0,15687854,3329118,2561.0
2016-04-21,2612.0,2787.0,2610.0,2750.0,22361400,2797400,2708.0
2016-04-22,2735.0,2740.0,2591.0,2619.0,21928680,2671432,2652.0
2016-04-25,2608.0,2781.0,2585.0,2643.0,19860714,2778040,2655.0
2016-04-26,2607.0,2650.0,2518.0,2554.0,13828216,2927298,2596.0
2016-04-27,2550.0,2587.0,2451.0,2500.0,14117966,2892336,2519.0
2016-04-28,2503.0,2548.0,2456.0,2539.0,12590112,2901482,2507.0
2016-04-29,2548.0,2590.0,2533.0,2580.0,11065856,2705042,2567.0
2016-05-03,2545.0,2546.0,2432.0,2451.0,6087006,2702042,2470.0
2016-05-04,2439.0,2448.0,2365.0,2381.0,8158556,2902036,2407.0
2016-05-05,2373.0,2404.0,2299.0,2309.0,8843630,3010258,2356.0
2016-05-06,2320.0,2339.0,2281.0,2336.0,9851786,3079210,2314.0
2016-05-09,2343.0,2352.0,2175.0,2175.0,8700040,3311408,2257.0
2016-05-10,2105.0,2165.0,2085.0,2147.0,10220650,2981232,2124.0
2016-05-11,2155.0,2175.0,2118.0,2146.0,9657606,3045482,2152.0
2016-05-12,2154.0,2159.0,2072.0,2074.0,8472638,3340930,2128.0
2016-05-13,2064.0,2078.0,2000.0,2030.0,10298962,3500184,2037.0
2016-05-16,2022.0,2086.0,2013.0,2052.0,8318498,3430758,2053.0
2016-05-17,2058.0,2118.0,2042.0,2114.0,8366662,3195814,2076.0
2016-05-18,2109.0,2134.0,2036.0,2055.0,10649982,2961602,2092.0
2016-05-19,2050.0,2073.0,2024.0,2043.0,8679626,3041332,2047.0
2016-05-20,2030.0,2079.0,2016.0,2062.0,7550934,3092100,2054.0
2016-05-23,2065.0,2069.0,1930.0,1947.0,7824686,2946832,1983.0
2016-05-24,1945.0,1965.0,1917.0,1958.0,6755808,2962564,1941.0
2016-05-25,1963.0,1973.0,1912.0,1916.0,6905020,3045028,1941.0
2016-05-26,1920.0,1958.0,1907.0,1953.0,7416702,3043898,1940.0
2016-05-27,1965.0,2048.0,1926.0,2033.0,11215608,2923206,1987.0
2016-05-30,2033.0,2054.0,1894.0,1990.0,10207570,2854180,1994.0
2016-05-31,1985.0,2028.0,1973.0,1978.0,7125598,2941886,1999.0
2016-06-01,1975.0,1985.0,1939.0,1955.0,5423698,2968202,1961.0
2016-06-02,1940.0,1980.0,1938.0,1954.0,4834340,3035600,1959.0
2016-06-03,1952.0,2003.0,1950.0,1988.0,5065658,2937758,1980.0
2016-06-06,2009.0,2082.0,1982.0,2059.0,7362346,2941864,2031.0
2016-06-07,2065.0,2103.0,2055.0,2077.0,6342670,2758772,2074.0
2016-06-08,2076.0,2115.0,2038.0,2099.0,7473444,2478334,2080.0
2016-06-13,2092.0,2189.0,2090.0,2170.0,6223922,2596912,2154.0
2016-06-14,2170.0,2184.0,2071.0,2072.0,8418904,2447134,2125.0
2016-06-15,2062.0,2101.0,2053.0,2067.0,5505990,2452108,2075.0
2016-06-16,2082.0,2118.0,2068.0,2074.0,5954174,2476248,2086.0
2016-06-17,2069.0,2080.0,2028.0,2074.0,5880856,2375822,2054.0
2016-06-20,2072.0,2099.0,2056.0,2062.0,4848484,2389908,2074.0
2016-06-21,2053.0,2115.0,2048.0,2082.0,5592902,2480160,2085.0
2016-06-22,2080.0,2143.0,2075.0,2143.0,6999164,2631158,2115.0
2016-06-23,2148.0,2161.0,2131.0,2141.0,5478706,2686078,2145.0
2016-06-24,2153.0,2168.0,2100.0,2126.0,5838818,2639884,2140.0
2016-06-27,2125.0,2268.0,2124.0,2268.0,7599160,2806212,2210.0
2016-06-28,2268.0,2288.0,2234.0,2265.0,5887680,2691696,2265.0
2016-06-29,2264.0,2280.0,2226.0,2241.0,5861356,2608036,2250.0
2016-06-30,2237.0,2345.0,2233.0,2337.0,7704152,2505608,2295.0
2016-07-01,2341.0,2374.0,2309.0,2349.0,7083518,2313000,2344.0
2016-07-04,2349.0,2468.0,2349.0,2424.0,9112380,2073208,2412.0
2016-07-05,2430.0,2454.0,2311.0,2402.0,7311714,1971480,2385.0
2016-07-06,2393.0,2429.0,2326.0,2378.0,8042726,1982898,2371.0
2016-07-07,2370.0,2456.0,2349.0,2387.0,8375194,2077216,2401.0
2016-07-08,2387.0,2447.0,2365.0,2445.0,8376194,2413392,2402.0
2016-07-11,2464.0,2484.0,2361.0,2430.0,7469210,2276400,2422.0
2016-07-12,2435.0,2563.0,2416.0,2558.0,7774606,2561700,2491.0
2016-07-13,2540.0,2589.0,2512.0,2516.0,6880472,2494600,2550.0
2016-07-14,2523.0,2542.0,2478.0,2524.0,5581728,2493862,2511.0
2016-07-15,2515.0,2556.0,2479.0,2527.0,6070020,2463646,2513.0
2016-07-18,2528.0,2535.0,2362.0,2362.0,7009522,2509524,2439.0
2016-07-19,2354.0,2358.0,2264.0,2297.0,7458256,2326466,2315.0
2016-07-20,2304.0,2336.0,2282.0,2310.0,5487648,2295432,2306.0
2016-07-21,2309.0,2432.0,2278.0,2396.0,7426584,2261552,2353.0
2016-07-22,2390.0,2399.0,2296.0,2310.0,6666442,2172398,2343.0
2016-07-25,2311.0,2368.0,2279.0,2342.0,7003380,2116800,2331.0
2016-07-26,2350.0,2379.0,2309.0,2379.0,5557718,2159444,2339.0
2016-07-27,2377.0,2449.0,2367.0,2418.0,7734528,1903000,2405.0
2016-07-28,2421.0,2503.0,2412.0,2480.0,7475414,1936284,2462.0
2016-07-29,2475.0,2484.0,2396.0,2412.0,5494102,1891324,2444.0
2016-08-01,2420.0,2521.0,2383.0,2495.0,6510646,1796142,2466.0
2016-08-02,2500.0,2529.0,2478.0,2514.0,4636956,1857660,2500.0
2016-08-03,2517.0,2522.0,2471.0,2497.0,4146122,1844192,2495.0
2016-08-04,2495.0,2504.0,2417.0,2453.0,5642740,1922344,2461.0
2016-08-05,2461.0,2555.0,2450.0,2538.0,5161852,1864868,2505.0
2016-08-08,2538.0,2618.0,2516.0,2607.0,4988876,1968322,2570.0
2016-08-09,2607.0,2628.0,2549.0,2589.0,4572794,1909702,2591.0
2016-08-10,2580.0,2639.0,2561.0,2587.0,4624264,1905500,2586.0
2016-08-11,2587.0,2602.0,2535.0,2594.0,4269190,1963378,2572.0
2016-08-12,2580.0,2590.0,2555.0,2577.0,3689742,1859538,2574.0
2016-08-15,2561.0,2582.0,2505.0,2571.0,4053394,1783176,2551.0
2016-08-16,2571.0,2687.0,2563.0,2648.0,4320198,1775446,2629.0
2016-08-17,2640.0,2667.0,2585.0,2589.0,3099566,1524614,2629.0
2016-08-18,2531.0,2570.0,2516.0,2549.0,4533600,1978564,2542.0
2016-08-19,2537.0,2575.0,2497.0,2567.0,5512548,2144406,2539.0
2016-08-22,2564.0,2602.0,2551.0,2553.0,5207160,2380650,2572.0
2016-08-23,2549.0,2615.0,2537.0,2596.0,5406822,2576768,2585.0
2016-08-24,2599.0,2620.0,2575.0,2589.0,3940550,2604334,2596.0
2016-08-25,2600.0,2620.0,2487.0,2567.0,7629108,2710618,2563.0
2016-08-26,2565.0,2573.0,2500.0,2502.0,5510904,2657676,2541.0
2016-08-29,2492.0,2501.0,2447.0,2477.0,5832962,2660264,2476.0
2016-08-30,2485.0,2491.0,2418.0,2422.0,6071512,2889822,2453.0
2016-08-31,2430.0,2449.0,2389.0,2392.0,5324052,2838164,2422.0
2016-09-01,2384.0,2412.0,2362.0,2402.0,5234742,2847492,2388.0
2016-09-02,2400.0,2464.0,2388.0,2406.0,7014000,2747400,2428.0
