date,open,high,low,close,volume,hold,settle
2016-04-01,5100.0,5195.0,5090.0,5185.0,18690,39556,5140.0
2016-04-06,5135.0,5140.0,5030.0,5050.0,18432,46364,5065.0
2016-04-07,5075.0,5095.0,5035.0,5040.0,13352,47322,5065.0
2016-04-08,5015.0,5015.0,4920.0,4975.0,33640,52216,4965.0
2016-04-11,5050.0,5060.0,4965.0,4990.0,30540,53596,5005.0
2016-04-12,5005.0,5010.0,4950.0,4985.0,16942,55778,4980.0
2016-04-13,5035.0,5110.0,4960.0,4980.0,50224,58436,5045.0
2016-04-14,4975.0,5020.0,4950.0,5015.0,26852,60206,4995.0
2016-04-15,5020.0,5065.0,5010.0,5020.0,29538,58308,5035.0
2016-04-18,4970.0,5025.0,4945.0,4990.0,29384,62372,4990.0
2016-04-19,5015.0,5040.0,4965.0,4985.0,32648,65080,4995.0
2016-04-20,5015.0,5090.0,5005.0,5060.0,67428,66428,5045.0
2016-04-21,5115.0,5245.0,5110.0,5245.0,76418,64988,5200.0
2016-04-22,5175.0,5220.0,5125.0,5150.0,51004,54168,5165.0
2016-04-25,5120.0,5255.0,5110.0,5240.0,48948,52514,5200.0
2016-04-26,5235.0,5355.0,5210.0,5220.0,55432,47702,5285.0
2016-04-27,5255.0,5315.0,5210.0,5270.0,38794,48666,5260.0
2016-04-28,5265.0,5280.0,5225.0,5255.0,24528,48444,5255.0
2016-04-29,5320.0,5320.0,5235.0,5285.0,21122,47862,5265.0
2016-05-03,5255.0,5270.0,5130.0,5160.0,35740,44292,5175.0
2016-05-04,5150.0,5150.0,5075.0,5080.0,35054,48704,5095.0
2016-05-05,5100.0,5110.0,5050.0,5055.0,21260,50104,5065.0
2016-05-06,5005.0,5115.0,5000.0,5080.0,32938,53666,5065.0
2016-05-09,5120.0,5120.0,5020.0,5040.0,22816,52756,5050.0
2016-05-10,5015.0,5090.0,5000.0,5055.0,19524,51060,5055.0
2016-05-11,5070.0,5095.0,5060.0,5085.0,12520,50372,5080.0
2016-05-12,5100.0,5110.0,5065.0,5095.0,14730,51136,5090.0
2016-05-13,5045.0,5080.0,5020.0,5070.0,21570,50984,5055.0
2016-05-16,5070.0,5085.0,5035.0,5045.0,15378,51866,5055.0
2016-05-17,5070.0,5080.0,5050.0,5060.0,11562,51360,5060.0
2016-05-18,5070.0,5145.0,5070.0,5090.0,28736,50608,5105.0
2016-05-19,5070.0,5145.0,5065.0,5145.0,25586,50796,5115.0
2016-05-20,5170.0,5220.0,5125.0,5210.0,31272,54046,5170.0
2016-05-23,5165.0,5230.0,5120.0,5150.0,40374,52008,5170.0
2016-05-24,5140.0,5170.0,5095.0,5095.0,24540,53380,5125.0
2016-05-25,5120.0,5140.0,5095.0,5110.0,19218,55198,5110.0
2016-05-26,5115.0,5150.0,5070.0,5095.0,21948,58138,5105.0
2016-05-27,5075.0,5100.0,5040.0,5045.0,24910,58608,5070.0
2016-05-30,5050.0,5145.0,5005.0,5130.0,26250,57398,5075.0
2016-05-31,5120.0,5175.0,5120.0,5155.0,21858,55032,5145.0
2016-06-01,5140.0,5185.0,5130.0,5180.0,23064,60382,5155.0
2016-06-02,5200.0,5200.0,5130.0,5170.0,21354,60544,5165.0
2016-06-03,5180.0,5190.0,5150.0,5150.0,17600,59150,5170.0
2016-06-06,5155.0,5180.0,5140.0,5155.0,16058,57718,5155.0
2016-06-07,5165.0,5200.0,5135.0,5170.0,20512,57080,5170.0
2016-06-08,5170.0,5180.0,5105.0,5115.0,18422,54362,5150.0
2016-06-13,5090.0,5100.0,5045.0,5050.0,32216,54778,5070.0
2016-06-14,5050.0,5080.0,5020.0,5020.0,25412,55286,5045.0
